field,head,article,
경제,알뜰폰 “평생 반값”… 대용량 데이터 시장 출혈경쟁,"알뜰폰 업체들이 파격적인 무제한 요금제를 선보이며 대용량 데이터 시장에 불을 붙이고 있다. 이동통신사 대비 50% 저렴한 요금에 할인 기간 제한까지 없애며 공격적인 마케팅에 나섰다.28일 이동통신업계에 따르면 헬로모바일은 지난 24일부터 ‘더 착한 데이터 유심 10GB’ 요금제(월 4만9390원)를 27% 할인한 3만6300원에 판매하고 있다. 6월 30일까지 가입하면 기간 제한 없이 원하는 만큼 사용할 수 있다. 기존에는 월 3만3000원에 할인 기간을 2년으로 제한했지만 이번에는 가격을 3000원 올린 대신 기간 제한을 없앴다. KT엠모바일도 동일한 조건의 유심 요금제를 이달까지 월 3만9380원에 할인 판매한다. 헬로모바일과 마찬가지로 할인 기간에 제한은 없다.이들 요금제는 데이터 10GB를 기본 제공하며 제공량 소진 시 하루 2GB가 추가로 제공되고, 이마저 다 쓰면 3Mbps 속도 제한으로 무제한 사용할 수 있다. 음성통화와 문자도 무제한이다. 비슷한 조건의 요금제가 이통사에서 6만5000원대인 점을 고려하면 거의 절반 가격에 동일한 혜택을 누릴 수 있는 셈이다. 제휴 카드를 쓰면 월 요금은 1만∼2만원대까지 떨어진다.유플러스 알뜰모바일은 3월부터 비슷한 조건의 유심 요금제를 3만6000원대에 판매하고 있다. 이 요금제는 데이터 기본 제공량이 11GB로 경쟁사보다 1GB 많지만 2년 기간 제한이 있다.이러한 ‘반값 대용량 데이터 요금제’에 대해 업계는 ‘제 살 깎아먹기’나 다름없다고 분석하고 있다. 알뜰폰 업계 전체의 경쟁력을 떨어뜨린다는 비판도 나온다. 원가에 못 미치는 요금 구조 탓에 팔면 팔수록 손해가 나기 때문이다. 이런 이유로 그동안 자금력 있는 대기업 계열 알뜰폰 업체들만 고객 유치용 한시 프로모션 형태로 선보였다.하지만 최근 이통사와 대기업 계열 업체들이 무한 출혈 경쟁에 나서는 형국이 되면서 알뜰폰 업체로서는 이 같은 무리한 요금제 도입도 불사하게 됐다는 분석이다. 지난 2월 LG유플러스가 속도 제한 없는 무제한 요금제를 선보이며 알뜰폰 업체의 위기감이 커졌고, KT도 비슷한 가격대의 완전 무제한 속도·용량 요금제 도입을 추진 중이다. 작년 9월 이통 3사의 요금할인율이 20%에서 25%로 올라가면서 한 차례 가격 경쟁력 위기를 맞은 알뜰폰 입장에서는 더욱 부담스러운 상황이다.한편 이날 LG유플러스는 데이터 제공량과 속도에 제한을 두지 않는 무제한 로밍 요금제를 출시했다. 중국·일본·미국 등 주요 37개국에서 하루 1만3200원에 모바일 데이터와 테더링(데이터 함께 쓰기)을 무제한 제공한다. 데이터 용량은 물론 속도 제한(QoS)까지 없는 해외 로밍 상품은 이번이 국내 최초라고 LG유플러스는 밝혔다. 요금제는 9월 말까지 한시적으로 운영되며 이후 정규 요금제로 전환될 예정이다.정지혜 기자 wisdom@segye.com",
경제,"금융공기업 급여 인상, 일반공기업의 2배 육박","지난 3년 동안 금융공기업이 10% 가까이 급여를 올리며 일반공기업보다 보수 격차가 더 커진 것으로 나타났다.28일 공공기관 경영정보공개시스템 알리오에 따르면 금융위원회 산하 7개 공공기관의 지난해 직원 1인당 평균 보수는 2016년보다 2.3% 오른 9309만원이었다. 2014년부터 3년 동안 급여인상률은 9.7%로 361개 전체 공공기관(부설기관 포함)의 5.5%보다 2배 가까이 높았다.금융공기업의 평균 보수는 2014년에는 일반공기업보다 33.5% 많았지만 지난해에는 38.8% 많아 임금 격차도 커진 것으로 나타났다.앞서 2014년 금융공기업의 방만 경영 문제가 불거지자 정부가 경영평가를 더 엄격히 실시해 2014년 평균 보수가 2013년보다 줄어든 바 있다. 이후 금융공기업이 다시 급여인상률을 높여 일반공기업과 격차가 더 벌어진 것이다.금융공기업 중 가장 보수가 많은 곳은 한국예탁결제원으로, 평균 1억961만원이었다. 전체 공공기관 중 2위다. 그 다음은 지난해에만 6.1%를 인상하며 1억원을 돌파한 산업은행(1억178만원)이 차지했다. 이어 중소기업은행(9886만원), 신용보증기금(8989만원), 예금보험공사(8798만원), 주택금융공사(8439만원), 자산관리공사(7908만원) 순이었다. 7개 금융공기업의 지난해 신입사원 초임은 4376만원이었다. 전체 공기업 평균인 3453만원 대비 923만원 많았다.백소용 기자 swinia@segye.com",
경제,증시 개인 공매도 기회 확대… 규정위반 제재는 강화,"정부가 개인 투자자(개미)의 공매도 기회를 확대하기로 했다. “공매도를 폐지하라”는 청와대 국민청원에 대한 답변이다. 이와 함께 공매도 전담조사반을 설치하고, 공매도 악용자에 대한 형사처벌 조항을 신설하는 등 공매도 위반 제재는 강화하기로 했다.금융위원회는 28일 이 같은 내용을 담은 ‘배당사고 재발방지 및 신뢰회복을 위한 주식매매제도 개선방안’을 발표했다. 지난달 발생한 삼성증권 유령주식 배당 사태의 후속 대책이자 청와대 국민 청원에 대한 답변이다. 당시 유령주식 사태는 오랜 ‘무차입 공매도’ 논란을 재점화시켰다. ‘삼성증권 시스템 규제와 공매도 금지’ 청원엔 24만여명이 참여했다.삼성증권 사태가 아니더라도 공매도는 개미들에게 ‘기울어진 운동장’의 상징이 된 지 오래다. 기관투자자 등 ‘큰손’들은 무제한으로 활용할 수 있는 반면 개미들에게는 사실상 ‘그림의 떡’인 탓이다. 보유하고 있지 않은 주식을 공매도하려면 해당 주식을 어디서든 빌려와야 하는데 개미들에게 돌아갈 대여물량은 극히 제한적이다. 이번 개선안에 따르면 개미들에 대한 한국증권금융의 공매도 대여 가능 종목과 수량이 확대된다. 증권금융은 개인 투자자에게 돈을 빌려주고 담보로 받은 주식을 다른 개인에게 빌려주고 있다. 이때 주식대여가 가능하려면 주식대여에 동의한 종목당 계좌수가 100계좌를 넘어야 하는데 이를 70계좌로 낮추기로 했다. 4월 말 기준 주식대여가 가능한 종목은 95개, 205만주에 불과하다. 또 개인 물량 이외에 증권사 등 기관에서 확보한 물량도 증권금융의 주식대여 물량에 포함시키기로 했다. 이와 함께 증권금융에서 돈을 빌린 증권사를 중심으로 개미들에게 주식 대여 서비스를 확대하도록 유도한다는 구상이다.하지만 이 정도 대책으로 공매도에 대한 개미들의 불신과 불만이 해소될지는 의문이다.증권컨설팅사 ‘더 프레미어’ 강관우 대표는 “기관들은 무제한으로 공매도를 활용하는 터에 개미들에게 그 정도로 공매도 기회를 확대하는 것으로 ‘기울어진 운동장’이 개선될 거라 기대하기는 어렵다”고 말했다.공매도 규제위반에 대한 제재는 강화한다. 거래소 시장감시시스템을 개선해 공매도 규제 위반 가능성이 큰 경우에는 신속히 감리 절차 등으로 연결하고 공매도와 연계된 시세조종에 대한 감시도 강화하기로 했다. 금융위는 공매도 제재 강화를 위한 자본시장법 개정안을 올해 3분기 중 마련해 연내 국회에 제출할 계획이다.삼성증권 유사 사태 재발 방지책도 마련했다. 우선 대규모 입출고에 따른 오류를 최소화하기 위해 수작업이 수반되는 입출고의 경우 발행주식 총수 대비 5%, 종가 기준 60억원 이상 등 회당 처리 한도가 설정되고 한도 초과 시 통제를 받는다. 주식이 증권사에 실물 입고되는 경우 예탁결제원 확인이 완료되기 전까지 증권사 매도가 제한된다.삼성증권 사태처럼 잘못된 매매주문을 신속히 차단하기 위해 증권사 전 임직원의 주문을 차단하는 ‘비상버튼시스템’도 도입된다. 증권사고 발생 시 임직원 매매로 투자자 피해가 우려되는 경우 준법감시부서에서 임직원 계좌에 대한 주식매매를 차단할 수 있게 된다. 증권사 우리사주조합에 대한 현금배당과 주식배당 시스템도 분리한다. 입력자의 실수로 우리사주 1주당 1000원의 현금 배당 대신 1000주를 배당한 삼성증권 사태를 원천봉쇄하려는 조치다.류순열 선임기자 ryoosy@segye.com",
경제,제주발 항공화물료 인상에 농민 반발,"대한항공 화물 선적 모습. 제주=연합뉴스대한항공이 6월1일부터 제주발 국내선 항공화물 운임을 인상하기로 해 농민들이 반발하고 있다. 농민단체들은 운임 인상으로 최소 11억원을 농업인들이 떠안아야 하고 제주산 채소류 등의 소비자가격 인상이 우려된다고 주장한다.28일 대한항공에 따르면 제주 7개 국내선 항공화물대리점에서 받는 항공화물 운임을 ㎏당 적게는 30원, 많게는 40원을 올린다. 대한항공 측은 “다른 항공사들이 국내선 항공화물 사업을 외면하는 동안 대한항공은 국적 대표항공사로서 시의적절한 제주 농·축·수산물 수송 지원을 위해 국내선 항공화물 산업을 지속해서 운영해 왔다”며 “하지만 적자 폭이 연평균 45억원에 이르면서 어쩔 수 없이 인상을 결정했다”고 설명했다.2014년 1월 이후 운임을 동결했지만 물가상승, 보안검색 절차 강화에 따른 인건비 비용 증가, 화물 터미널 운영비용 증가, 해상 물류 증가에 따른 항공화물 물동량 감소 등으로 어쩔 수 없이 인상을 결정했다는 게 대한항공의 입장이다. 대한항공 측은 “향후 제주공항 화물터미널 보안검색시설·인력과 장비를 통합 운영해 불필요한 비용을 절감하겠다”면서 “다른 항공사들도 화물사업에 진출할 수 있도록 공용화물터미널 운영을 관계기관과 협의 중”이라고 밝혔다. 대한항공에 따르면 지난해 7개 항공화물 대리점이 수송한 물량은 제주도 전체 415만t 중 3만7000t으로 약 0.9%에 해당한다. 이에 최소 운임 상승비인 ㎏당 30원의 인상액을 적용한다고 전제해도 3만7000t의 물량을 운반하는 데 11억1000만원이 추가될 것으로 추산되고 있다. 경우에 따라서는 최대 15억원의 육박하는 추가 요금이 발생한다.무와 배추, 당근, 브로콜리 등 채소류가 절반을 차지하고 40%는 밀감류, 11%는 수산물이다. 제주에서 생산되는 브로콜리, 양배추 등 겨울철 채소는 절대적으로 항공화물에 운송을 의존해 화주들의 부담이 커지고 소비자가격 인상이 우려된다. 제주 겨울 채소는 국내 생산량의 70를 차지한다.신선도를 요구하는 채소나 과일의 경우 해상보다는 항공수송에 의지해 항공화물 운임 인상 소식에 농민들이 더 반발하고 있다. 특히 아시아나항공 등이 운임을 유지하는 상황에서 유독 대한항공만 운임을 인상한다는 방침에 공감할 수 없다는 입장이다.제주도내 21개 농업 관련 단체로 구성된 제주도농업인단체협의회는 29일 제주 한진빌딩에서 운임 인상 규탄 기자회견을 하기로 했다. 제주도농업인단체협의회 관계자는 “인상 전 기존 운임은 130원으로 최소 30원만 인상하더라도 11여억원을 농가에서 자체 부담해야 한다”며 “기존 관행을 보면 대한항공이 운임을 올리는데 아시아나항공도 어떻게 나올지 미지수다. 농업인들이 강력하게 대응할 것”이라고 말했다.대한항공 측은 “올해 2월 전국 화물 운임이 인상됐지만 제주발 화물은 5월까지 유예했다”며 “제주발 항공화물 수송 서비스 질을 높이겠다”고 밝혔다.제주=임성준 기자 jun2580@segye.com",
경제,김상조 “개별 기업 지배구조 평가 주주 위법여부 예의주시”,"김상조 공정거래위원장이 28일 “개별 기업의 지배구조에 관한 결정을 주주와 시장이 평가할 때 위법 행위가 있는지를 정부 당국이 예의주시하고 있다”고 말했다. 김 위원장은 이날 오전 국회 법제사법위원회에 출석해 국내 기업이 해외 투기 자본의 공격 대상이 되고 있다는 지적에 “필요하면 상법, 자본시장법 제도 개선 필요성을 검토해야 한다”며 이렇게 밝혔다.최근 현대자동차그룹이 내놓은 지배구조 개편안이 미국계 ‘행동주의 펀드’ 엘리엇매니지먼트(엘리엇)가 반대표 몰이에 나서는 등 주요 의결권 자문사들이 반대 의견을 내며 철회된 데 따른 것으로 풀이된다.세종=박영준 기자 yjp@segye.com",
경제,"여름에도 미세먼지 주의해야, 주방 미세먼지 ‘이지 더블유’ 로…","미세먼지가 연일 한반도를 뒤덮으면서 건강 관리에 적색등이 켜졌다. 일반적으로 미세먼지 농도는 봄에 가장 높고 여름이 되면 상대적으로 낮아지는 것으로 알려져 있다.지난 2010~2016년까지 서울의 월평균 미세먼지(PM10) 농도를 살펴보면 3월이 64㎍/㎥로 1년 중 가장 높았다가 점차 떨어져 7월부터 10월까지 40㎍/㎥를 넘지 않았다. 이는 북서풍이나 서풍 대신 주로 남서풍이 불면서 중국발 황사나 미세먼지의 영향이 줄어들기 때문이다.그렇다면 다가오는 여름철은 미세먼지에서 자유로울까? 이는 개인의 생활 방식에 따라 달라진다. 중국 미세먼지의 영향권에서는 벗어나더라도 여전히 자동차의 배기가스는 상존하고 집 안에서 음식을 만들 때나 청소를 하는 등 실내 생활을 할 때도 미세먼지 농도는 올라간다. 실내 생활을 주로 하는데도 미세먼지 시즌이 아니라고 관리를 소홀하면 오히려 건강을 해칠 수 있으므로 주의해야 한다.여름에도 안심할 수 없는 실내 미세먼지의 원인과 예방법은 무엇일까? 실내에서 발생한 미세먼지는 중력에 의해 서서히 바닥으로 가라앉았다가 운동하거나 청소를 할 때 다시 위로 떠 오른다. 이때 공기 중에 분무기로 물을 뿌려 미세먼지를 바닥으로 가라앉힌 후 물걸레질을 하면 효과적으로 미세먼지를 제거할 수 있다.진공청소기는 실내의 각종 오염물질을 흡입하는 과정에서 필터를 통해 걸러지지 않은 미세먼지가 다시 배출될 수 있으므로 물걸레질로 대신하면 좋다. 또한 미세먼지가 쉽게 쌓이는 카펫, 침구류, 인형 등 섬유 재질로 된 물건들은 수납장에 넣거나 덮개를 덮어두는 등 미리 정리해두면 실내 먼지 농도를 낮추는데 도움이 된다.미세먼지는 보이지 않아도 침대 위에 항상 쌓인다는 사실을 기억해야 한다. 침구 위에 쌓이는 미세먼지는 가족의 건강을 위협할 만큼 치명적이지만 눈에 잘 보이지 않아 간과하기 쉽다. 특히 침대 속 미세먼지에서 발견되는 세균 ‘나노소포제’는 기도 세포에 흡수돼 염증을 일으키고 폐 질환의 발병 위험을 높이므로 세밀한 관리가 필요하다.매트리스는 바닥에 놓지 않고 프레임 위에 얹어 사용해 통풍되도록 하고, 섬유탈취제 대신 전용 청소기를 사용한다. 여름철에는 미세먼지와 더불어 진드기, 곰팡이 등 유해 세균이 생기기 쉬운데, 매트리스에 굵은 소금을 뿌리고 문지른 후 청소기로 빨아들이면 눈에 보이지 않는 진드기도 쉽게 제거 가능하다. 침대 커버는 고온에서 매주 세탁하는 게 현명하다.주방은 집안 미세먼지의 주범이라 할 수 있어 식재료부터 청결한 관리가 필요하다. 또한 요리할 때에도 많은 미세먼지가 발생한다. 음식의 종류와 조리하는 방법에 따라 달라지지만, 육류를 삶을 때 119μg/m³, 생선을 구울 때는 3480μg/m³까지 초미세먼지 농도가 올라간다.열을 이용한 조리 과정 중에 발생한 미세한 물방울 ‘에어로졸’이 식재료의 수분, 기름과 응결되면서 많은 미세먼지를 만들기 때문이다. 통풍이 잘되는 상태에서 요리하고, 구이나 튀김 요리를 할 때는 덮개를 씌우는 등 조리 과정에서 세심한 조치가 필요하다.식재료를 청결하게 유지하는 것도 미세먼지를 줄이는데 중요하다. 자연식재료 역시 미세먼지에 노출될 가능성이 높기 때문에 이를 제대로 세척하지 않고 먹거나 조리할 경우 미세먼지는 물론 잔류농약 등을 섭취해 소화기관에 좋지 않은 영향을 끼칠 수 있어 주의가 필요하다. 이때 식품 전용 세척기를 활용하면 간편하면서도 보다 효과적으로 식재료를 세척할 수 있다.이처럼 실내 미세먼지에 대한 경각심이 커지면서 팩토리얼의? ‘이지더블유’가 소비자들의 많은 관심을 받고 있다. 이 제품은 초음파를 이용해 식품의 세척을 돕는 자동세척기다.이지더블유는 과일과 채소가 완전히 잠길 정도로 물을 받은 뒤 전원 버튼을 누르면 내재된 4개의 BLT(세라믹 압력 진동자)가 출력 200W의 강력한 초음파 진동을 일으켜 보이지 않는 작은 틈새의 미세먼지와 잔류농약까지 깨끗하게 세척한다.팩토리얼 관계자는 “조개류 해감, 게, 새우 등 갑각류 껍질의 노폐물 제거, 육류의 핏물 제거 등에도 다양하게 활용 가능하다”고 말했다. 이어 “별도의 세제 없이 물과 초음파만으로 식품을 세척하기 때문에 세척 후 남아있는 화학 물질에 대한 걱정 없이 안심하고 사용 가능하다는 특징을 지닌다”고 전했다.김정환 기자 hwani89@segye.com",
경제,[일상톡톡 플러스] 단기 급등…2년동안 전세살면 매매값 안정될까?,"A씨는 ""어떤 의미에서 전세자금 대출은 서민을 위한 게 아닌 부유층을 위한 것""이라며 ""수요와 공급의 논리에 따라 애초 5000만원이면 전세금이 적정선이지만, 전세 대출때문에 1억원 이상 거품이 끼어있다. 의도와 달리 서민들은 더 비싼 값에 전세를 살고 있다""고 주장했다.B씨는 ""난 규제 강화되기 전에 대출 받아 아파트 구입했다""며 ""보유세가 문제될 거라 생각하는 이들이 있지만, 아파트 가격이 오르는데 그정도 푼돈 나가는 게 뭐가 대수냐""고 반문했다.C씨는 ""양도소득세 운운하는 이들이 있는데 솔직히 안 팔면 안 내는 세금""이라며 ""매도 안 하고 그냥 전세나 월세 놓으면 되는데 뭐 하러 양도세를 내면서 팔겠냐. 중개업소에 아파트를 전세로 내놓으면 들어오겠다는 이들이 수두룩하다""고 전했다.D씨는 ""일부 강남 재건축 등 수십억원 호가하는 아파트 단지 시세가 일부 낮아지는 것처럼 보이나 큰 틀에서 서울, 수도권 주요 지역 중소형 아파트 시세는 쉽게 하락하지 않는다""며 ""집값 떨어질까 하는 불안감 땜에 매매 보류하다 상대적으로 손해보는 경우가 많다""고 설명했다.E씨는 ""부동산시장에 악순환이 반복되고 있다. 애초에 대출 규제를 완화하지 않았으면 집값이 이정도까지 치솟는 일은 없었을 것""이라며 ""전세자금 대출은 외형적으론 서민들을 위한 것이었지만, 결국 매매 및 전세 가격이 떨어지지 않아 갭투자자들만 이득을 보게 됐다""고 지적했다.F씨는 ""가계부채 줄인다더니 결국 질이 더 좋지 않은 대출만 늘렸다""며 ""더 큰 문제는 단기간에 정책 남발로 시장흐름을 왜곡시켰다는 것이다. 서민만 집 사기 어려워졌고, 질이 좋지 않은 고금리 대출로 내몰리는 취약계층이 증가했다""고 꼬집었다.G씨는 ""우리나라는 전세 때문에 집값이 낮아지기 어렵다. 전세금이 집값을 든든하게 받쳐주기 때문""이라며 ""도심 웬만한 아파트 전세금이 평균 억대가 넘는데, 이건 월급만 모아선 불가능한 수준이다. 그러다 보니 자연스레 은행에 손 벌릴 수 밖에 없는데 이 순간부터 대출의 노예가 된다""고 토로했다.주요 시중은행 전세자금 대출 잔액 규모가 급속도로 불어나고 있다.28일 은행권에 따르면 KB국민·신한·KEB하나·우리·NH농협은행 등 5대 시중은행의 지난달 말 전세자금대출 총 잔액은 약 52조3428억원으로 집계됐다.지난해 동월 대비 42.46%(25조321억원) 증가한 수치로, 지난해 1월(42.48%) 이후 15개월 만에 가장 큰 증가율을 보였다.주요 시중은행의 전세자금대출 총 잔액은 2016년 8월 30조원을 돌파한 데 이어 지난해 8월 40조원, 올해 3월 50조원을 넘어섰다.앞으로도 기세를 이어간다면 연내 60조원 돌파도 어렵지 않을 전망이다.은행권은 당국이 연달아 내놓은 주택담보대출 등 가계부채 규제가 전세자금대출 잔액 증가세에 영향을 미쳤다고 해석했다.서울 등 투기지역의 경우 주택담보대출비율(LTV)이 집값의 40%에 묶여있지만, 전세자금대출은 전세보증금의 80%까지 받을 수 있다.최근 집값이 천정부지로 오르면서 가용자금이 부족한 사람들이 상대적으로 저렴하고 대출을 많이 받을 수 있는 전세로 눈을 돌린다는 것이다.KB부동산 월간 주택가격동향에 따르면 지난달 기준 서울 지역의 아파트 중위 매매가격은 7억4418만원으로 집계됐다.반면 서울 아파트 중위 전셋값은 절반 수준인 4억2776만원이었다.LTV 규제(40%)를 고려했을 때 서울에서 중위가격 아파트 한 채를 구입하려면 대출을 제외한 순수 개인자금이 4억4000만원 이상 필요하지만, 전세의 경우 8000만원 정도만 있으면 나머지는 대출금으로 충당할 수 있는 셈이다.주택가격 상승세 둔화와 역전세난 소식 속에 조만간 부동산 시장이 꺾일 것이라는 기대도 전세 수요를 늘리고 있다는 시각도 있다.◆""부동산시장 곧 꺾일 듯?""…매매 줄고 전세수요 증가혼자 사는 청년들이 부부나 부모, 자녀 등과 함께 사는 청년들보다 임대료 부담에 시달리는 것으로 나타났다. 이들은 필요한 주거지원 프로그램으로 전·월세 지원을 최우선적으로 꼽았다.한국보건사회연구원 연구진은 최근 서울 강남구 건설회관에서 열린 제48회 주거복지포럼 대토론회에서 이런 내용의 '청년층 빈곤 및 주거실태와 정책과제'를 발표했다.국토연구원의 주거실태조사를 토대로 분석한 결과 2016년 19~34세 청년단독가구(1인가구) 가운데 지하·옥탑방·고시원에 사는 비율은 5.2%였다.10년 전인 2006년(8.4%)보다 3.2%포인트 감소했으나 다른 청년가구(2016년 전체 청년가구 3.2%)와 비교했을 때 여전히 열악한 주거환경에 놓여 있었다.무엇보다 청년단독가구를 힘들게 하는 건 높은 임대료였다. 월소득 대비 임대료 비율(RIR·Rent Income Ratio)을 보면 청년단독가구의 56.9%가 RIR이 20% 이상이었고, RIR 30% 이상 비율도 37.0%나 됐다.◆청년층 주거문제, 빈곤 원인인 동시에 결과물혼자 사는 청년 절반 이상이 한 달 소득에서 5분의 1 이상을 임대료로 고스란히 지출했고, 3명 중 1명 이상은 한 달에 100만원을 벌면 30만원 이상을 집세 내는 데 썼다. 이는 전체 청년가구 과부담 비율인 47.5%와 26.5%보다 높은 수준이다.임대료 과부담과 최저주거기준 미달을 모두 경험하는 집단은 2006년엔 기타청년가구(38.2%)와 부모와 동거하는 청년가구(33.7%)가 주를 이뤘으나, 2016년엔 청년단독가구 비율이 46.8%를 차지했다.선호하는 주거지원 프로그램을 문의한 결과 청년단독가구에선 전세자금 대출 지원(35.8%), 월세보조금 지원(18.8%), 장기공공임대주택 공급(16.9%) 순으로 답했다. 주택 구입자금 대출 지원을 꼽은 청년부부가구(37.7%)나 청년부부와 자녀가 함께 사는 가구(42.0%)보다 임대료 지원이 필요하다는 것으로 해석할 수 있다.보사연은 ""청년층 주거문제는 청년빈곤의 원인이자 결과""라며 ""청년층이 가장 크게 경제적 부담을 느끼는 부분은 주거비로서 청년층의 빈곤을 예방하고, 다음 생애주기 단계로의 원활한 이행을 지원하기 위한 정책적 배려가 집중돼야 할 부분""이라고 지적했다.김현주 기자 hjk@segye.com",
경제,"안다르 ‘에어쿨링 레깅스’, “땀걱정NO 변함없이 상쾌한 여름 레깅스”","여성 액티브웨어 브랜드 안다르(대표 신애련)가 무더운 여름 여성들의 상쾌함을 위한 ‘에어쿨링 레깅스’를 선보인다.여성 오너 기업인 안다르는 여름 시즌 불편을 느껴온 땀과 냄새에 대한 원인을 에어쿨링 원단의 테크널러지를 통해 해답을 찾아냈다. 여름의 움직임에서 첫 번째로 많은 여성 소비자들이 원한 것은 땀에 대한 해결책이다.30도 이상의 기온에서는 특별한 움직임이 없더라도 땀을 흘릴 수밖에 없어 땀으로 인한 습한 착용감의 지속과 냄새로 불편을 겪어왔다. 여기에 땀으로 인한 냄새는 여성들을 더욱 소극적으로 변화하게 하였다.이를 위한 해결로 안다르의 에어쿨링 원단은 땀과 수분을 코튼 소재보다 10배 빨리 마르는 ‘흡습’ 테크널러지와 빠른 건조가 가능한 ‘속건’ 테크널러지를 통해 언제나 보송한 쾌적함과 변함없는 상쾌함을 유지한다.?땀을 흘려도 불쾌하지 않은 에어쿨링 소재는 여기에 스웨덴의 친환경 향균 방취 가공의 ‘폴리진 코팅’으로 냄새를 막는 삼중 효과를 잡았다. 이와 더불어 에어쿨링 소재는 더운 날씨에도 상쾌한 냉감소재로 입었을 때 체온보다 낮은 착용감으로 불쾌함을 더욱 줄여준다.안다르 에어쿨링 레깅스는 원단의 테크널러지와 함께 혁신적인 직조 방법으로 여성들이 여름에 어떠한 움직임을 할 때도 뛰어난 신축성과 내구성을 극대화하는 벤틸레이션 기능이 적용되었다. 특수한 이중직 소재로 각각의 패널마다 차별화된 벤틸레이션 기능을 가져 걸을 때마다 공기가 순환되어 더욱 가벼운 활동성을 선사한다.??상쾌한 착용감을 유지하게 해주는 것뿐만 아니라 안다르의 시그니처 패턴인 Y존 라인의 입체패턴 무봉제 방식으로 여성들이 레깅스를 입었을 때 느낄 수 있는 부담스러운 시선에 대한 고민까지도 해결하였다. 더불어 엉덩이 쪽의 시걸 라인으로 힙업 효과와 함께 골반의 볼륨을 더욱 만들어 주며 골반 다트라인의 입체패턴으로 들뜸 없는 라인을 완성해준다.에어쿨링 레깅스에 대해 안다르 신애련 대표는 “한국은 여름 기온이 높고 습해서 여성들이 더욱 불편을 느끼고 있다”며, “이에 대한 공감으로 땀에 대한 이슈를 고민하게 되었고 원단 개발과 함께 직종방법까지 완성하여 에어쿨링 레깅스를 선보이게 되었다”고 전했다.안다르의 에어쿨링 레깅스는 안다르 자사몰을 포함해 전국 롯데백화점과 신세계 백화점 주요 매장에서 10가지 컬러에 2만원 중반대의 가격으로 만날 수 있다.김정환 기자 hwani89@segye.com",
경제,"[속보] 김동연 ""양극화 심화 원인 면밀히 분석중…보완책 강구""","김동연 ""양극화 심화 원인 면밀히 분석중…보완책 강구""(속보)KBS1라디오 박종훈의 경제쇼 출연 ? ",
경제,"한국타이어, 세계 최대 합성고무 기업 ‘아란세오’와 공동연구개발","한국타이어가 5월 25일 독일기업 ‘아란세오(Arlanxeo)’와 고성능 타이어 개발을 위해 MOU를 체결했다.한국타이어(대표이사 조현범)가 지난 5월 25일 독일 쾰른에서 세계 최대 규모의 합성고무 기업 ‘아란세오(Arlanxeo)’와 고성능 타이어 개발을 위해 공동연구개발 양해각서(MOU)를 체결했다.이번 양해각서 체결을 통해 한국타이어는 타이어의 성능 향상을 위한 합성고무 원료 및 적용법을 제품 개발 초기 단계부터 공동으로 연구 개발하여 기술의 리더십을 강화한다는 계획이다.또 급변하는 글로벌 경영 환경 속에서 지속적인 연구개발(R&D) 투자를 통해 시장을 선도한다.아란세오는 세계 최대 규모의 합성고무 기업으로 자동차 및 타이어를 비롯한 건설, 석유 및 가스 산업에 주로 사용되는 고기능성 합성고무를 개발하여 생산, 판매하고 있다. 독일계 특수화학기업 랑세스와 사우디 아람코가 각각 50% 지분을 투자한 합작회사로 2016년 4월 공식 출범했다.한국타이어는 지난 2008년부터 아란세오의 전신인 독일계 특수화학기업 ‘랑세스’와 고성능 타이어 핵심원료에 대한 장기공급 계약을 맺은 후 2014년에는 양해각서를 체결하고 고성능 타이어를 위한 핵심 합성고무 개발을 진행하고 있다.한편 한국타이어는 신기술 확보를 위해 다방면으로 총력을 기울이고 있다. 지난 2016년에는 핵심 연구개발 시설 ‘한국타이어 테크노돔(HANKOOK TECHONODOME)’을 공식 오픈하며 세계 최고 수준의 R&D 환경을 조성했다.이동준 기자 blondie@segye.com",
